Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Color,Airbags,Manufacturerencoded,Modelencoded,Categoryencoded,Fuel typeencoded,Gear box typeencoded,Drive wheelsencoded,Colorencoded
10349,0,TOYOTA,VOXY,2007,Minivan,1,Petrol,2.4,170000,4.0,Automatic,Front,Black,6,45,856,6,4,0,1,1
7213,530,NISSAN,Juke,2013,Jeep,1,Petrol,1.6,312118,4.0,Automatic,Front,Black,0,32,532,4,4,0,1,1
5331,0,MERCEDES-BENZ,A 160,2004,Sedan,0,Petrol,1.6,130000,4.0,Tiptronic,Front,Black,6,28,75,8,4,2,1,1
20526,640,HYUNDAI,Tucson,2013,Jeep,1,Diesel,2.0,200279,4.0,Automatic,Front,Grey,4,18,849,4,1,0,1,7
34657,777,HYUNDAI,H1,2014,Minivan,1,Diesel,2.5,154672,4.0,Automatic,Front,Silver,4,18,474,6,1,0,1,12
36564,1091,HYUNDAI,H1,2016,Minivan,1,Diesel,2.5,110969,4.0,Automatic,Front,Black,4,18,474,6,1,0,1,1
314,779,TOYOTA,Camry,2013,Sedan,1,Hybrid,2.5,225510,4.0,Automatic,Front,White,12,45,225,8,2,0,1,14
5488,0,TOYOTA,Vitz,2001,Hatchback,0,Petrol,1.5,210000,4.0,Manual,Front,Sky blue,3,45,891,3,4,1,1,13
30063,934,HYUNDAI,H1,2015,Universal,1,Diesel,2.5,148105,4.0,Automatic,Front,Silver,4,18,474,9,1,0,1,12
15800,769,CHEVROLET,Captiva,2011,Jeep,1,Diesel,2.2,255456,4.0,Automatic,Front,Silver,4,6,244,4,1,0,1,12
43952,1249,HYUNDAI,H1,2017,Universal,1,Diesel,2.5,111643,4.0,Automatic,Front,Grey,4,18,474,9,1,0,1,7
14740,645,TOYOTA,Prius,2011,Hatchback,0,Hybrid,1.8,288000,4.0,Automatic,Front,White,8,45,681,3,2,0,1,14
42337,0,FORD,Mustang,2016,Cabriolet,1,Petrol,2.3,75000,4.0,Tiptronic,Rear,Silver,6,13,613,0,4,2,2,12
18189,0,TOYOTA,Prius,2012,Sedan,0,Petrol,1.8,175000,4.0,Automatic,Front,Silver,8,45,681,8,4,0,1,12
220,1185,FORD,Escape,2009,Jeep,1,Hybrid,2.5,193614,4.0,Automatic,Front,White,0,13,376,4,2,0,1,14
7527,830,TOYOTA,Yaris,2019,Sedan,1,Petrol,1.5,27656,4.0,Automatic,Front,White,12,45,924,8,4,0,1,14
21953,781,TOYOTA,Camry,2012,Sedan,0,Petrol,2.5,195053,4.0,Automatic,Front,Black,0,45,225,8,4,0,1,1
19121,531,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,121362,4.0,Automatic,Front,Black,4,18,355,8,4,0,1,1
36065,639,HYUNDAI,Santa FE,2014,Jeep,1,Diesel,2.0,69191,4.0,Automatic,Front,White,4,18,753,4,1,0,1,14
8781,1111,HONDA,FIT,2012,Hatchback,1,Hybrid,1.3,83000,4.0,Tiptronic,Front,Green,12,17,389,3,2,2,1,6
6247,760,CHEVROLET,Cruze,2010,Sedan,1,Petrol,1.8,40772,4.0,Automatic,Front,Black,4,6,305,8,4,0,1,1
16289,642,CHEVROLET,Orlando,2012,Jeep,1,Diesel,2.0,172000,4.0,Automatic,Front,Grey,4,6,636,4,1,0,1,7
549,781,SUBARU,Forester,2012,Jeep,1,Petrol,2.5,148213,4.0,Automatic,4x4,Blue,0,43,425,4,4,0,0,2
6981,1095,DAEWOO,Lacetti,2008,Sedan,1,Petrol,2.0,103246,4.0,Automatic,Front,Black,4,9,553,8,4,0,1,1
27284,891,HYUNDAI,Elantra,2016,Sedan,0,Petrol,2.0,105394,4.0,Tiptronic,Front,Black,12,18,355,8,4,2,1,1
32929,0,BMW,428 Sport Line,2013,Coupe,1,Petrol,2.0,160000,4.0,Automatic,Rear,Black,12,3,45,1,4,0,2,1
15458,966,HYUNDAI,Genesis,2009,Coupe,1,Petrol,2.0,123346,4.0,Automatic,Front,Black,4,18,459,1,4,0,1,1
2901,473,CHEVROLET,Cruze,2014,Sedan,1,Petrol,1.4,80827,4.0,Automatic,Front,Green,12,6,305,8,4,0,1,6
314,382,FORD,Fusion,2015,Sedan,1,Hybrid,2.0,91760,4.0,Automatic,Front,Black,12,13,439,8,2,0,1,1
26657,0,MERCEDES-BENZ,Sprinter,2004,Microbus,0,Diesel,2.2,300000,4.0,Manual,Rear,White,1,28,799,5,1,1,2,14
10663,988,TOYOTA,Prius,2007,Hatchback,0,Petrol,1.5,318400,4.0,Automatic,Front,Silver,6,45,681,3,4,0,1,12
12858,765,FORD,Focus SE,2015,Sedan,0,Petrol,2.0,91200,4.0,Automatic,Front,Sky blue,10,13,419,8,4,0,1,13
12858,0,KIA,Picanto,2016,Hatchback,0,Petrol,1.2,107000,4.0,Manual,Front,Silver,2,22,674,3,4,1,1,12
44752,1091,HYUNDAI,H1,2016,Universal,1,Diesel,2.5,86000,4.0,Automatic,Front,Grey,4,18,474,9,1,0,1,7
17158,687,HYUNDAI,Elantra,2010,Sedan,1,Petrol,1.6,122740,4.0,Automatic,Front,White,4,18,355,8,4,0,1,14
12231,0,MITSUBISHI,Airtrek,2005,Jeep,0,LPG,2.4,144000,4.0,Tiptronic,4x4,White,16,31,105,4,3,2,0,14
94,0,HONDA,FIT,2003,Hatchback,0,Petrol,1.5,178000,4.0,Variator,Front,Silver,4,17,389,3,4,3,1,12
25591,640,SSANGYONG,Korando,2013,Jeep,1,Diesel,2.0,85704,4.0,Automatic,Front,Silver,4,42,548,4,1,0,1,12
14897,836,HYUNDAI,Santa FE,2010,Jeep,1,Diesel,2.0,58962,4.0,Automatic,Front,White,4,18,753,4,1,0,1,14
23521,779,TOYOTA,Camry,2013,Sedan,1,Hybrid,2.5,90000,4.0,Tiptronic,Front,White,12,45,225,8,2,2,1,14
706,777,MAZDA,616,2014,Sedan,1,Petrol,2.5,0,4.0,Automatic,Front,Red,12,27,72,8,4,0,1,11
16935,765,FORD,Fusion,2015,Sedan,1,Petrol,2.0,71454,4.0,Automatic,Front,Black,0,13,439,8,4,0,1,1
19444,781,TOYOTA,Camry,2012,Sedan,1,Petrol,2.5,0,4.0,Tiptronic,Front,Black,6,45,225,8,4,2,1,1
706,394,TOYOTA,Camry,2014,Sedan,1,Hybrid,2.5,115312,4.0,Automatic,Front,Grey,12,45,225,8,2,0,1,7
9408,0,MERCEDES-BENZ,C 220,1999,Sedan,0,Diesel,2.2,111111,4.0,Manual,Rear,Silver,4,28,164,8,1,1,2,12
13328,1347,HYUNDAI,H1,2008,Minivan,1,Diesel,2.5,74444,4.0,Automatic,Front,Yellow,4,18,474,6,1,0,1,15
17876,0,NISSAN,Serena,2012,Minivan,0,Petrol,2.0,143000,4.0,Tiptronic,Front,White,12,32,759,6,4,2,1,14
20071,0,TOYOTA,RAV 4,2008,Jeep,0,Petrol,2.4,135000,4.0,Automatic,4x4,Silver,8,45,717,4,4,0,0,12
22894,862,HYUNDAI,H1,2011,Minivan,1,Diesel,2.5,124444,4.0,Automatic,Front,Yellow,4,18,474,6,1,0,1,15
2901,503,HONDA,Civic,2012,Sedan,1,Hybrid,1.5,146403,4.0,Automatic,Front,White,0,17,261,8,2,0,1,14
18660,0,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,130000,4.0,Tiptronic,Front,Black,6,18,770,8,4,2,1,1
22580,1017,MERCEDES-BENZ,E 300,2017,Sedan,1,Petrol,2.0,50930,4.0,Automatic,Rear,Black,12,28,342,8,4,0,2,1
11604,639,HYUNDAI,Sonata,2014,Sedan,1,LPG,2.0,264872,4.0,Automatic,Front,Silver,4,18,770,8,3,0,1,12
314,259,CHEVROLET,Volt,2014,Hatchback,1,Hybrid,1.4,131893,4.0,Automatic,Front,Brown,0,6,895,3,2,0,1,3
5488,751,GMC,TERRAIN,2013,Jeep,1,Petrol,2.4,138958,4.0,Automatic,Front,Black,12,15,817,4,4,0,1,1
18817,609,TOYOTA,Camry,2018,Sedan,1,Hybrid,2.5,35058,4.0,Automatic,Front,White,12,45,225,8,2,0,1,14
21169,697,HONDA,Hr-v EX,2015,Jeep,0,Petrol,1.8,33330,4.0,Automatic,4x4,Grey,8,17,489,4,4,0,0,7
9095,0,FIAT,500,2011,Coupe,0,Petrol,1.2,141000,4.0,Automatic,Front,Red,4,12,48,1,4,0,1,11
1568,639,VOLKSWAGEN,Jetta,2014,Sedan,1,Diesel,2.0,82392,4.0,Automatic,Front,Silver,12,48,515,8,1,0,1,12
17876,585,HYUNDAI,Elantra sport limited,2013,Sedan,1,Petrol,1.8,117920,4.0,Tiptronic,Front,Grey,12,18,370,8,4,2,1,7
11290,891,HYUNDAI,Sonata,2016,Sedan,1,LPG,2.0,279787,4.0,Automatic,Front,Silver,4,18,770,8,3,0,1,12
862,394,TOYOTA,Camry,2014,Sedan,1,Hybrid,2.5,130478,4.0,Automatic,Front,White,12,45,225,8,2,0,1,14
21395,781,HYUNDAI,H1,2012,Universal,1,Diesel,2.5,166144,4.0,Automatic,Front,Silver,4,18,474,9,1,0,1,12
15681,891,HYUNDAI,Sonata,2016,Sedan,1,LPG,2.0,258706,4.0,Automatic,Front,Silver,4,18,770,8,3,0,1,12
627,475,CHEVROLET,Volt,2012,Jeep,1,Hybrid,1.4,188419,4.0,Automatic,Front,Red,0,6,895,4,2,0,1,11
40070,690,TOYOTA,Aqua,2016,Hatchback,1,Petrol,1.5,25807,4.0,Automatic,Front,Black,4,45,112,3,4,0,1,1
11917,0,MERCEDES-BENZ,A 170,2008,Hatchback,0,Petrol,1.7,180000,4.0,Automatic,Front,Golden,8,28,76,3,4,0,1,5
35927,640,SSANGYONG,REXTON,2013,Jeep,1,Diesel,2.0,137267,4.0,Automatic,Front,Silver,4,42,726,4,1,0,1,12
21012,308,TOYOTA,Prius,2014,Sedan,0,Hybrid,1.8,160000,4.0,Automatic,4x4,White,4,45,681,8,2,0,0,14
13172,1361,KIA,Carnival grand,2009,Minivan,1,Diesel,2.9,84176,4.0,Automatic,Front,White,6,22,249,6,1,0,1,14
15624,707,HYUNDAI,Genesis,2011,Coupe,1,Petrol,2.0,107005,4.0,Automatic,Front,Grey,4,18,459,1,4,0,1,7
20005,531,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,104997,4.0,Automatic,Front,White,4,18,355,8,4,0,1,14
470,1077,MAZDA,1000,2019,Jeep,1,Petrol,2.0,11566,4.0,Automatic,4x4,Black,12,27,2,4,4,0,0,1
43880,891,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,113700,4.0,Automatic,Front,Silver,4,18,753,4,1,0,1,12
29479,584,MERCEDES-BENZ,C 250,2014,Sedan,1,Petrol,1.8,69000,4.0,Tiptronic,Rear,Grey,8,28,169,8,4,2,2,7
17249,0,TOYOTA,Camry,2011,Sedan,1,Hybrid,2.5,152000,4.0,Variator,Front,White,12,45,225,8,2,3,1,14
9408,0,TOYOTA,Vitz funkargo,2003,Universal,0,Petrol,1.5,181926,4.0,Automatic,4x4,Silver,2,45,893,9,4,0,0,12
44213,891,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,50255,4.0,Automatic,Front,Red,4,18,753,4,1,0,1,11
21950,831,FORD,Transit,2011,Goods wagon,0,Diesel,2.4,125000,4.0,Manual,4x4,White,2,13,834,2,1,1,0,14
706,475,FIAT,500,2012,Hatchback,1,Petrol,1.4,164574,4.0,Automatic,Front,Red,12,12,48,3,4,0,1,11
3136,473,CHEVROLET,Cruze,2014,Sedan,1,Petrol,1.4,156992,4.0,Automatic,Front,Black,12,6,305,8,4,0,1,1
7840,0,MERCEDES-BENZ,Vaneo,2004,Universal,0,LPG,1.9,170000,4.0,Tiptronic,Front,Silver,4,28,858,9,3,2,1,12
1490,639,VOLKSWAGEN,Jetta,2014,Universal,1,Diesel,2.0,113214,4.0,Automatic,Front,Grey,12,48,515,9,1,0,1,7
13172,0,HONDA,Cr-v,2002,Jeep,0,Petrol,2.4,260000,4.0,Automatic,4x4,Silver,6,17,299,4,4,0,0,12
706,751,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,175827,4.0,Automatic,Front,Black,12,18,770,8,4,0,1,1
25716,777,TOYOTA,Camry,2014,Sedan,0,Petrol,2.5,115200,4.0,Automatic,Front,Silver,8,45,225,8,4,0,1,12
14426,642,CHEVROLET,Orlando,2012,Jeep,1,LPG,2.0,132036,4.0,Automatic,Front,White,4,6,636,4,3,0,1,14
10820,0,TOYOTA,RAV 4,2001,Jeep,0,Petrol,2.0,91000,4.0,Automatic,4x4,Silver,4,45,717,4,4,0,0,12
45436,1172,FORD,Explorer,2011,Jeep,1,Petrol,3.5,129177,4.0,Automatic,Front,White,4,13,386,4,4,0,1,14
11917,893,HYUNDAI,I30,2008,Hatchback,0,Diesel,1.6,201000,4.0,Manual,Front,Black,8,18,491,3,1,1,1,1
41281,765,HYUNDAI,Santa FE,2015,Jeep,1,Diesel,2.0,185811,4.0,Automatic,Front,Black,4,18,753,4,1,0,1,1
3700,0,ALFA ROMEO,147,2001,Coupe,1,Petrol,1.8,240000,4.0,Manual,Front,Black,4,1,9,1,4,1,1,1
15681,0,SUZUKI,Grand Vitara,2008,Jeep,0,Petrol,1.6,98000,4.0,Automatic,4x4,Black,12,44,471,4,4,0,0,1
6586,645,LEXUS,CT 200h,2011,Hatchback,1,Hybrid,1.8,122302,4.0,Automatic,Front,Black,0,25,205,3,2,0,1,1
12544,0,TOYOTA,Prius,2007,Hatchback,0,Hybrid,1.5,140000,4.0,Automatic,Front,Beige,6,45,681,3,2,0,1,0
30063,639,HYUNDAI,Tucson,2014,Jeep,1,Diesel,2.0,120000,4.0,Automatic,Front,White,4,18,849,4,1,0,1,14
21639,0,HYUNDAI,Veloster,2015,Hatchback,0,Petrol,1.6,17200,4.0,Tiptronic,Front,Red,10,18,866,3,4,2,1,11
36692,0,TOYOTA,RAV 4 XLE Sport,2013,Jeep,0,Petrol,2.5,120000,4.0,Tiptronic,Front,White,0,45,723,4,4,2,1,14
30,0,HONDA,FIT,2002,Hatchback,0,Petrol,1.5,0,4.0,Automatic,Front,Silver,4,17,389,3,4,0,1,12
12231,1266,TOYOTA,Aqua,2014,Hatchback,0,Hybrid,1.5,66000,4.0,Variator,Front,Silver,4,45,112,3,2,3,1,12
3136,0,TOYOTA,Sienta,2004,Sedan,0,Petrol,1.5,300000,4.0,Variator,Front,Beige,4,45,764,8,4,3,1,0
10663,0,TOYOTA,Prius,2009,Sedan,1,Hybrid,1.8,230000,4.0,Variator,Front,Grey,6,45,681,8,2,3,1,7
5620,447,HONDA,FIT,2013,Hatchback,1,Petrol,1.3,110467,4.0,Automatic,Front,White,4,17,389,3,4,0,1,14
9408,1111,HONDA,FIT,2012,Hatchback,0,Hybrid,1.3,64000,4.0,Variator,Front,Black,4,17,389,3,2,3,1,1
3,0,HYUNDAI,Elantra,2011,Sedan,1,Petrol,1.8,80000,4.0,Tiptronic,Front,Grey,6,18,355,8,4,2,1,7
15367,640,VOLKSWAGEN,Passat,2013,Sedan,1,Diesel,2.0,179200,4.0,Tiptronic,Front,White,16,48,657,8,1,2,1,14
26594,777,HYUNDAI,H1,2014,Minivan,1,Diesel,2.5,179918,4.0,Automatic,Front,Silver,4,18,474,6,1,0,1,12
36065,779,TOYOTA,Avalon LIMITED,2013,Sedan,1,Hybrid,2.5,92200,4.0,Tiptronic,Front,Beige,12,45,137,8,2,2,1,0
26343,730,KIA,Cerato K3,2016,Sedan,1,Diesel,1.6,29000,4.0,Tiptronic,Front,Silver,8,22,256,8,1,2,1,12
549,862,MAZDA,CX-7,2011,Sedan,1,Petrol,2.5,216550,4.0,Automatic,Front,Black,12,27,214,8,4,0,1,1
14000,585,HYUNDAI,Elantra,2013,Sedan,0,Petrol,1.8,50000,4.0,Tiptronic,Front,Grey,10,18,355,8,4,2,1,7
17923,473,CHEVROLET,Cruze,2014,Sedan,1,Petrol,1.4,127842,4.0,Automatic,Front,White,4,6,305,8,4,0,1,14
10349,0,OPEL,Astra G,2003,Hatchback,0,Petrol,1.6,180000,4.0,Manual,Front,Silver,6,33,127,3,4,1,1,12
8154,0,TOYOTA,Ist,2002,Hatchback,0,Petrol,1.3,115000,4.0,Automatic,Front,Silver,7,45,513,3,4,0,1,12
282,289,FORD,Escape,2008,Jeep,1,Hybrid,0.4,220474,4.0,Automatic,Front,Grey,0,13,376,4,2,0,1,7
7527,640,VOLKSWAGEN,Passat,2013,Sedan,1,Diesel,2.0,132310,4.0,Automatic,Front,Grey,12,48,657,8,1,0,1,7
3450,1249,TOYOTA,Camry,2017,Sedan,1,Petrol,2.5,60762,4.0,Automatic,Front,White,12,45,225,8,4,0,1,14
22063,836,HYUNDAI,Tucson,2010,Jeep,1,Diesel,2.0,142264,4.0,Automatic,Front,White,4,18,849,4,1,0,1,14
4704,585,TOYOTA,Corolla,2013,Sedan,1,Petrol,1.8,227371,4.0,Automatic,Front,Silver,12,45,281,8,4,0,1,12
941,642,VOLKSWAGEN,Jetta,2012,Sedan,1,Diesel,2.0,203440,4.0,Automatic,Front,Black,12,48,515,8,1,0,1,1
16900,502,HONDA,FIT,2013,Hatchback,1,Petrol,1.5,70000,4.0,Automatic,Front,Blue,4,17,389,3,4,0,1,2
18189,0,NISSAN,Rogue,2010,Jeep,1,Petrol,2.5,122000,4.0,Automatic,4x4,Silver,4,32,740,4,4,0,0,12
5331,0,MAZDA,MPV,2000,Minivan,0,Petrol,2.5,127000,4.0,Automatic,Front,Green,4,27,579,6,4,0,1,6
42651,1017,MERCEDES-BENZ,GLA 250,2017,Jeep,1,Petrol,2.0,44995,4.0,Automatic,4x4,Black,0,28,453,4,4,0,0,1
15524,586,TOYOTA,Prius,2012,Hatchback,0,Hybrid,1.8,122324,4.0,Automatic,Front,Red,7,45,681,3,2,0,1,11
862,333,FORD,Fusion,2014,Sedan,1,Hybrid,2.0,186048,4.0,Automatic,Front,Black,0,13,439,8,2,0,1,1
28909,831,HYUNDAI,Elantra,2017,Sedan,1,Diesel,1.6,98000,4.0,Automatic,Front,White,4,18,355,8,1,0,1,14
50,0,TOYOTA,Aqua,2013,Sedan,0,Hybrid,1.5,130000,4.0,Automatic,Rear,Sky blue,0,45,112,8,2,0,2,13
14426,639,HYUNDAI,Sonata,2014,Sedan,1,LPG,2.0,169024,4.0,Automatic,Front,White,4,18,770,8,3,0,1,14
9000,1325,VOLKSWAGEN,Sharan,2011,Minivan,0,Petrol,1.4,126000,4.0,Automatic,Front,Silver,6,48,761,6,4,0,1,12
22580,779,TOYOTA,Camry,2013,Sedan,1,Petrol,2.5,156666,4.0,Automatic,Front,Black,12,45,225,8,4,0,1,1
862,259,CHEVROLET,Volt,2014,Jeep,1,Hybrid,1.4,133195,4.0,Automatic,Front,Black,0,6,895,4,2,0,1,1
7464,247,HONDA,FIT,2014,Hatchback,1,Hybrid,1.3,114950,4.0,Automatic,Front,Blue,4,17,389,3,2,0,1,2
1333,1091,FORD,Fusion,2016,Sedan,1,Petrol,2.5,154850,4.0,Automatic,Front,Black,12,13,439,8,4,0,1,1
7683,0,NISSAN,Tiida,2006,Sedan,1,CNG,1.8,200000,4.0,Variator,Front,Silver,2,32,827,8,0,3,1,12
22266,0,FORD,Fusion,2013,Sedan,1,Petrol,1.6,85500,4.0,Automatic,Front,Black,8,13,439,8,4,0,1,1
282,333,FORD,Fusion,2014,Sedan,1,Hybrid,2.0,0,4.0,Automatic,Front,Silver,0,13,439,8,2,0,1,12
392,629,NISSAN,Juke,2015,Jeep,1,Petrol,1.6,85944,4.0,Automatic,4x4,Black,0,32,532,4,4,0,0,1
33556,765,MERCEDES-BENZ,C 300,2015,Sedan,1,Petrol,2.0,0,4.0,Automatic,Rear,Black,12,28,176,8,4,0,2,1
39161,831,SSANGYONG,Actyon,2017,Jeep,1,Diesel,1.6,73000,4.0,Automatic,Front,White,4,42,102,4,1,0,1,14
16308,0,FORD,Transit,2008,Microbus,0,Diesel,2.2,180000,4.0,Manual,Front,White,2,13,834,5,1,1,1,14
17719,0,TOYOTA,Camry,2009,Sedan,1,Hybrid,2.4,92000,4.0,Tiptronic,Front,Sky blue,8,45,225,8,2,2,1,13
20385,738,CHEVROLET,Cruze,2017,Sedan,0,Petrol,1.4,42000,4.0,Tiptronic,Front,Black,12,6,305,8,4,2,1,1
15241,707,HYUNDAI,Genesis,2011,Coupe,1,Petrol,2.0,117492,4.0,Automatic,Front,Grey,4,18,459,1,4,0,1,7
2587,382,FORD,Fusion,2015,Sedan,1,Hybrid,2.0,88795,4.0,Automatic,Front,Black,0,13,439,8,2,0,1,1
15524,1347,HYUNDAI,H1,2008,Minivan,1,Diesel,2.5,56769,4.0,Automatic,Front,Silver,4,18,474,6,1,0,1,12
27911,0,MERCEDES-BENZ,C 250,2014,Sedan,1,Petrol,1.8,70000,4.0,Tiptronic,Rear,Beige,8,28,169,8,4,2,2,0
4861,779,TOYOTA,Camry,2013,Sedan,1,Hybrid,2.5,136861,4.0,Automatic,Front,Blue,12,45,225,8,2,0,1,2
29793,0,MERCEDES-BENZ,S 350,2005,Sedan,1,Petrol,3.5,263000,4.0,Automatic,Rear,Black,0,28,744,8,4,0,2,1
18208,531,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,95665,4.0,Automatic,Front,Grey,4,18,355,8,4,0,1,7
549,481,HYUNDAI,Sonata,2017,Sedan,1,Hybrid,2.0,107387,4.0,Automatic,Front,Silver,12,18,770,8,2,0,1,12
30,0,NISSAN,Tiida,2006,Hatchback,0,Petrol,1.5,0,4.0,Automatic,Front,Red,4,32,827,3,4,0,1,11
34497,779,TOYOTA,RAV 4 Le,2013,Jeep,0,Petrol,2.5,65350,4.0,Tiptronic,Front,White,12,45,720,4,4,2,1,14
6272,1522,OPEL,Zafira,2000,Goods wagon,0,Petrol,1.8,130000,4.0,Manual,Front,Silver,0,33,929,2,4,1,1,12
4924,1282,CHEVROLET,Captiva,2007,Jeep,1,Diesel,2.0,183923,4.0,Automatic,Front,Silver,4,6,244,4,1,0,1,12
4704,0,OPEL,Vectra b,2000,Hatchback,0,Diesel,2.0,11111,4.0,Manual,Front,Red,2,33,864,3,1,1,1,11
43576,1091,HYUNDAI,H1,2016,Universal,1,Diesel,2.5,97129,4.0,Automatic,Front,Silver,4,18,474,9,1,0,1,12
7840,0,MERCEDES-BENZ,C 200,2001,Sedan,1,CNG,2.0,140000,4.0,Manual,Rear,Black,4,28,160,8,0,1,2,1
28225,1079,TOYOTA,CHR,2018,Jeep,0,Petrol,2.0,24000,4.0,Automatic,Front,Grey,8,45,192,4,4,0,1,7
18817,738,CHEVROLET,Cruze,2017,Hatchback,1,Petrol,1.4,29094,4.0,Automatic,Front,Grey,0,6,305,3,4,0,1,7
